,Company,Model,Year,Price in Lak,Fuel,Kilometer,City,EMIstarts
41,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
42,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
43,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
44,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
45,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
46,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
47,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
48,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
49,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
50,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
51,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
52,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
53,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
54,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
55,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
56,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
57,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
58,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
59,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
60,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
61,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
62,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
63,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
64,Renault,Duster 110,2015,6.25,Diesel,"61,000",Navi Mumbai,"₹10,379"
65,Hyundai,Creta 1,2016,10.75,Diesel,"43,000",Mumbai,"₹17,852"
66,Mercedes,Benz C,2013,13.5,Diesel,"80,000",Lucknow,"₹22,419"
67,Mercedes,Benz GLC,2018,42.5,Diesel,"27,500",Mumbai,"₹70,578"
68,Hyundai,Venue SX,2020,11.5,Diesel,"29,455",Hyderabad,"₹19,097"
69,Renault,Duster 110,2014,4.25,Diesel,"74,000",Lucknow,"₹7,057"
70,Maruti,Suzuki Ertiga,2016,8.25,Diesel,"67,000",Navi Mumbai,"₹13,700"
71,Maruti,Suzuki Swift,2016,4.85,Petrol,"44,000",Mumbai,"₹8,054"
72,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
73,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
74,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
75,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
76,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
77,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
78,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
79,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
80,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
81,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
82,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
83,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
84,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
85,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
86,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
87,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
88,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
89,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
90,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
91,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
92,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
93,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
94,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
95,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
96,Maruti,Suzuki Celerio,2014,3.5,Petrol,"93,000",Panchkula,"₹5,812"
97,Skoda,Superb Sportline,2021,34.9,Petrol,"47,000",Pune,"₹57,957"
98,Honda,City VX,2016,7.25,Diesel,"82,000",Jaipur,"₹12,039"
99,Honda,City V,2015,6.5,Petrol,"98,000",Panchkula,"₹10,794"
100,Mercedes,Benz C,2018,33.75,Petrol,"30,000",Delhi,"₹56,047"
101,Mercedes,Benz A,2022,43.99,Diesel,"15,037",Pune,"₹73,044"
102,Maruti,Suzuki Ertiga,2021,11.55,CNG,"27,000",Delhi,
103,Mercedes,Benz C,2013,16.75,Diesel,"27,361",Bangalore,"₹27,816"
104,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
105,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
106,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
107,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
108,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
109,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
110,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
111,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
112,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
113,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
114,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
115,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
116,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
117,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
118,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
119,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
120,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
121,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
122,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
123,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
124,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
125,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
126,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
127,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
128,Mercedes,Benz S,2017,,Diesel,"11,900",Vadodara,₹1.31 L
129,Audi,A5 Sportback,2018,38.9,Diesel,"32,001",Vadodara,"₹64,600"
130,Maruti,Suzuki Ciaz,2017,5.9,Petrol,"26,654",Mumbai,"₹9,797"
131,Hyundai,Grand i10,2017,4.4,Petrol,"23,000",Mumbai,"₹7,306"
132,Maruti,Suzuki Wagon,2016,4.5,Petrol + 1,"60,000",Ahmedabad,"₹7,473"
133,Maruti,Suzuki Celerio,2016,,Petrol,"34,585",Pune,"₹8,303"
134,Audi,A7 Sportback,2014,,Diesel,"32,000",Mumbai,"₹36,534"
135,Audi,R8 5,2013,1.1,Petrol,"10,000",Delhi,₹1.83 L
136,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
137,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
